Number of particles	758
Number of SSDEM steps	339411
SSDEM Timestep		9.9612860089880256e-08	# 0.500319 s
Recommended Kn		8.1849082481000550e-17	# 6.4514 kg/s^2
Central mass		3.2136391068195534e-07	# 6.39e+23 kg
Orbital distance	4.5314816101857791e-05	# 6779 km
Orbital frequency	1.8583958161248677e+03	# period = 4.71705 h
Patch width		2.3421565032875870e-10	# 35.0382 m
Patch length		2.3421565032875870e-10	# 35.0382 m
Patch thickness		2.5067201708506668e-11	# 3.75 m
Mean particle radius	2.5067201708506667e-12	# 0.375 m
Mean particle mass	1.4812125893886696e-28	# 294.524 kg
Mean Hill radius	2.7782435853721063e-12	# 1.10832 <R>
Mean escape speed	9.4145897292782416e-09	# 2.02096 Omega <R>
Optical depth		2.9999999999999999e-01	# 0.3
Surface density		2.0489559075773652e-06	# 182.048 kg/m^2
Mean particle density	1.6837301226165507e+06	# 1 g/cc
Critical wavelength	2.3421565032875867e-11	# 3.50382 m
Volume filling factor	4.8492708328489301e-02	# 0.0484927
Mass scaling		1.0000000000000000e+00	# 1
Radius scaling		1.0000000000000000e+00	# 1
